date,ts,source,value,target,coin
2019-1-26,2019-01-26T18:09:05.000Z,0x371e304891d117c2caba07b1e4171f231e583b36,307.0,0x8d3a672d84e66da0f0c023a28919028c6c14d9d8,ETH
2019-1-26,2019-01-26T22:39:39.000Z,0xc36ec109a7d5ccb6b62d21070b3fb85e11ee5c5c,2.2,0xd64979357160e8146f6e1d805cf20437397bf1ba,ETH
2019-1-26,2019-01-26T15:12:15.000Z,0x48dea43e23dd4b27e1997c7f582c5ea100998ac5,3.5,0xd64979357160e8146f6e1d805cf20437397bf1ba,ETH
2019-1-26,2019-01-26T15:54:23.000Z,0xcce9ae12f67f76631d97dac953194505b883ff98,5.0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH
2019-1-26,2019-01-26T15:54:23.000Z,0xcce9ae12f67f76631d97dac953194505b883ff98,5.0,0x448a5065aebb8e423f0896e6c5d525c040f59af3,WETH
2019-1-26,2019-01-26T18:49:55.000Z,0x440caa860aeb6a8dd4605a9dd3619501153a20fd,0.415,0xd64979357160e8146f6e1d805cf20437397bf1ba,ETH
2019-1-26,2019-01-26T21:50:49.000Z,0x3e294e9ea60249999839d829cdafe9bc3a67cef4,0.85,0x25b8cce3fd037c11226c64980e4128480a932ebc,ETH
2019-1-26,2019-01-26T16:02:16.000Z,0x48dea43e23dd4b27e1997c7f582c5ea100998ac5,4.75,0xd64979357160e8146f6e1d805cf20437397bf1ba,ETH
2019-1-26,2019-01-26T19:53:31.000Z,0xa691dca9b3dfbc1a90189e4503365ef0ebbaa26d,5.0,0xd64979357160e8146f6e1d805cf20437397bf1ba,ETH
2019-1-26,2019-01-26T20:23:22.000Z,0xe61669566c4bf676ae6b55252c457a192bd26a9e,2.6002196361529997e-06,0x7284a8451d9a0e7dc62b3a71c0593ea2ec5c5638,ETH
2019-1-26,2019-01-26T17:24:20.000Z,0x03bc5bb7cb596b74225261515fc927f494dfb45e,0.42,0x440caa860aeb6a8dd4605a9dd3619501153a20fd,ETH
2019-1-26,2019-01-26T15:24:32.000Z,0xf041fd2ff337f9d3c0e4106d53780bfd0df2dc57,1000.0,0xd64979357160e8146f6e1d805cf20437397bf1ba,ETH
2019-1-26,2019-01-26T21:27:46.000Z,0x3a306a399085f3460bbcb5b77015ab33806a10d5,0.006,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH
2019-1-26,2019-01-26T21:27:46.000Z,0x3a306a399085f3460bbcb5b77015ab33806a10d5,0.006,0x448a5065aebb8e423f0896e6c5d525c040f59af3,WETH
2019-1-26,2019-01-26T19:53:31.000Z,0xa691dca9b3dfbc1a90189e4503365ef0ebbaa26d,5.0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH
2019-1-26,2019-01-26T19:53:31.000Z,0xa691dca9b3dfbc1a90189e4503365ef0ebbaa26d,5.0,0x448a5065aebb8e423f0896e6c5d525c040f59af3,WETH
2019-1-26,2019-01-26T15:54:23.000Z,0xcce9ae12f67f76631d97dac953194505b883ff98,5.0,0xd64979357160e8146f6e1d805cf20437397bf1ba,ETH
2019-1-26,2019-01-26T15:54:23.000Z,0x41d3deae4e9cab7de5755992e957f6e775d773ea,5.0,0xcce9ae12f67f76631d97dac953194505b883ff98,ETH
2019-1-26,2019-01-26T17:24:20.000Z,0x440caa860aeb6a8dd4605a9dd3619501153a20fd,0.42,0xd64979357160e8146f6e1d805cf20437397bf1ba,ETH
2019-1-26,2019-01-26T20:17:39.000Z,0xfc7bd09fdf9671a4c6722ad67bb30f562ca52f01,12.2,0xf62496dc2e3d01c9ae412dadafbe9e7d52d3f2f9,ETH
2019-1-26,2019-01-26T18:23:36.000Z,0x94a022c1273c605b79fc3a5d75f19ec132fe0b0c,3.2,0xd64979357160e8146f6e1d805cf20437397bf1ba,ETH
2019-1-26,2019-01-26T21:21:49.000Z,0x48dea43e23dd4b27e1997c7f582c5ea100998ac5,3.25,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH
2019-1-26,2019-01-26T21:21:49.000Z,0x48dea43e23dd4b27e1997c7f582c5ea100998ac5,3.25,0x448a5065aebb8e423f0896e6c5d525c040f59af3,WETH
2019-1-26,2019-01-26T22:39:39.000Z,0x119ac0356b561a2558861d042c10970f057fe529,2.2,0xc36ec109a7d5ccb6b62d21070b3fb85e11ee5c5c,ETH
2019-1-26,2019-01-26T16:24:45.000Z,0x411bf6b483f04349229a0f1b09bf4c17468068d3,1.0,0xd64979357160e8146f6e1d805cf20437397bf1ba,ETH
2019-1-26,2019-01-26T20:23:22.000Z,0xe61669566c4bf676ae6b55252c457a192bd26a9e,0.010515,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH
2019-1-26,2019-01-26T20:23:22.000Z,0xe61669566c4bf676ae6b55252c457a192bd26a9e,0.010515,0x448a5065aebb8e423f0896e6c5d525c040f59af3,WETH
2019-1-26,2019-01-26T21:24:50.000Z,0x3a306a399085f3460bbcb5b77015ab33806a10d5,0.4,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH
2019-1-26,2019-01-26T21:24:50.000Z,0x3a306a399085f3460bbcb5b77015ab33806a10d5,0.4,0x448a5065aebb8e423f0896e6c5d525c040f59af3,WETH
2019-1-26,2019-01-26T18:47:03.000Z,0x40fda8511de0bedf3596e2f72ca3cedf28bf5868,2.42,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH
2019-1-26,2019-01-26T18:47:03.000Z,0x40fda8511de0bedf3596e2f72ca3cedf28bf5868,2.42,0x448a5065aebb8e423f0896e6c5d525c040f59af3,WETH
2019-1-26,2019-01-26T18:09:05.000Z,0x8d3a672d84e66da0f0c023a28919028c6c14d9d8,307.0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH
2019-1-26,2019-01-26T18:09:05.000Z,0x8d3a672d84e66da0f0c023a28919028c6c14d9d8,307.0,0x448a5065aebb8e423f0896e6c5d525c040f59af3,WETH
2019-1-26,2019-01-26T21:17:25.000Z,0x3a306a399085f3460bbcb5b77015ab33806a10d5,0.5,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH
2019-1-26,2019-01-26T21:17:25.000Z,0x3a306a399085f3460bbcb5b77015ab33806a10d5,0.5,0x448a5065aebb8e423f0896e6c5d525c040f59af3,WETH
2019-1-26,2019-01-26T15:07:55.000Z,0xd64979357160e8146f6e1d805cf20437397bf1ba,35.48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH
2019-1-26,2019-01-26T15:07:55.000Z,0xd64979357160e8146f6e1d805cf20437397bf1ba,35.48,0x448a5065aebb8e423f0896e6c5d525c040f59af3,WETH
